policy,energy (kWh),shed (kWh),starts,affine cost,min margin
Efficiency-greedy,0.3233999999999997,17.14510434782609,0,0.7193999999999998,-9.96376811594203
Fixed reserve 10 kWh,33.27939999999999,1.1485260869564842,1,40.96739999999992,-2.0543594202898063
Viable bang-bang (refined kernel),23.511399999999977,0.0,1,30.791399999999918,0.29952753623191697
Viable proportional (refined kernel),26.795126851798198,0.0,1,34.56712685179813,0.5271155186954495
