dt,mu_bar,bound,energy,shed,min_mu,satisfies
0.02,0.0,0.2,19.853999999999978,0.022299999999967877,-0.01993333333330255,False
0.02,0.1,0.2,20.272799999999975,0.0,0.0800666666666977,False
0.02,0.2,0.2,20.474999999999977,0.0,0.18006666666669657,True
0.02,0.30000000000000004,0.2,20.67839999999998,0.0,0.28006666666669633,True
0.02,0.5,0.2,20.882999999999978,0.0,0.4800666666666955,True
0.05,0.0,0.5,20.13500000000002,0.05624999999998632,-0.04958333333333087,False
0.05,0.25,0.5,19.748750000000022,0.0,0.20041666666666957,False
0.05,0.5,0.5,19.748750000000022,0.0,0.4504166666666696,True
0.05,0.75,0.5,20.217500000000022,0.0,0.7004166666666696,True
0.1,0.0,1.0,19.605,0.11749999999999096,-0.09833333333332567,False
0.1,0.5,1.0,20.82,0.0,0.40166666666667417,False
0.1,1.0,1.0,20.82,0.0,0.9016666666666755,True
0.1,1.5,1.0,20.82,0.0,1.4016666666666753,True
0.2,0.0,2.0,19.679999999999996,0.19000000000000222,-0.19333333333333558,False
0.2,0.5,2.0,25.439999999999994,0.19000000000000222,-0.19333333333333558,False
0.2,1.0,2.0,24.24,0.0,0.8066666666666649,False
0.2,2.0,2.0,24.24,0.0,1.8066666666666649,True
0.2,3.0,2.0,24.24,0.0,2.8066666666666644,True
0.4,0.0,4.0,19.6,0.36000000000000115,-0.3733333333333366,False
0.4,0.5,4.0,24.160000000000004,0.36000000000000115,-0.3733333333333366,False
0.4,2.0,4.0,26.560000000000002,0.0,1.6266666666666634,False
0.4,4.0,4.0,26.560000000000002,0.0,3.6266666666666634,True
0.4,6.0,4.0,30.000000000000007,0.0,4.666666666666667,True
