mu_bar,fuel,shed,on_time,starts,min_mu
-6.0,3.0210000000000035,10.395099999999934,4.799999999999986,1,-6.06623333333333
-5.625,3.500999999999991,10.022499999999946,4.959999999999982,1,-5.719933333333278
-5.25,4.093799999999994,9.547399999999932,5.119999999999979,1,-5.319933333333277
-4.875,4.703400000000007,9.066099999999926,5.279999999999975,1,-4.932633333333332
-4.5,5.32860000000001,8.578599999999929,5.439999999999972,1,-4.55513333333333
-4.125,5.9459999999999935,8.11459999999992,5.559999999999969,1,-4.219933333333277
-3.75,6.607200000000003,7.617799999999952,5.719999999999966,1,-3.819933333333278
-3.375,7.360799999999988,7.042599999999934,5.879999999999963,1,-3.4199333333332795
-3.0,8.134200000000023,6.4642999999999455,5.99999999999996,1,-3.04013333333333
-2.625,8.976000000000022,5.859099999999947,6.1199999999999575,1,-2.719933333333282
-2.25,9.853800000000017,5.2149999999999475,6.239999999999955,1,-2.3199333333332834
-1.875,10.837799999999982,4.5723999999999485,6.3999999999999515,1,-1.919933333333285
-1.5,11.918399999999988,3.8724999999999565,6.599999999999947,1,-1.540833333333339
-1.125,13.012799999999991,3.1341999999999657,6.759999999999944,1,-1.2199333333332931
-0.75,14.407199999999964,2.313799999999969,6.999999999999939,1,-0.819933333333296
-0.375,16.29719999999999,1.3636999999999726,7.319999999999932,1,-0.41993333333330035
0.0,19.853999999999978,0.022299999999967877,7.87999999999992,1,-0.01993333333330255
0.375,20.858399999999982,0.0,8.039999999999917,1,0.28006666666669633
0.75,20.19779999999998,0.0,7.919999999999919,1,0.680066666666693
1.125,21.09359999999998,0.0,8.119999999999916,1,1.0800666666666918
1.5,21.27659999999998,0.0,8.159999999999915,1,1.4800666666666904
1.875,20.858399999999982,0.0,8.039999999999917,1,1.7800666666666913
2.25,22.31639999999998,0.0,8.35999999999991,1,2.1800666666666895
2.625,22.715999999999976,0.0,8.439999999999909,1,2.5800666666666876
3.0,22.873799999999978,0.0,8.479999999999908,1,2.980066666666688
