policy,P(shed>0),CP 95% upper,mean shed,median shed,P95 shed,mean energy,P95 energy,min margin
Efficiency-greedy,1.0,1.0,38.18417389192607,37.27802116723757,57.308828852179296,0.32339999999999963,0.3233999999999997,-8.333333333333334
Fixed reserve 10 kWh,0.0,0.009936081944457708,0.0,0.0,0.0,54.62685866666652,75.24420999999948,1.5669087650371791
Viable bang-bang,0.0,0.009936081944457708,0.0,0.0,0.0,45.8091333333333,64.55462999999992,0.3115194747743162
Viable proportional,0.0,0.009936081944457708,0.0,0.0,0.0,46.61353567099089,65.75097035368691,0.500000002755623
