variant,s_min(0) [kWh],viable fraction,infinite-horizon kernel
nominal,8.333333333333334,0.884259259257176,True
$\eta=0.9$ (discharge),9.25925925925926,0.8713991769524178,True
DoD floor $s_{dod}=2$,10.333333333333334,0.7842592592571759,True
dead time $\tau=10$ min,9.166666666666668,0.8668981481459259,True
dead time $\tau=1$ h,13.333333333333334,0.7800925925896759,True
$T_d=2$ h (finite-horizon),7.0,0.8916666666654166,False
curtailable $L_{nc}=1$ kW,5.333333333333333,0.9407407407390741,True
refined plant (E6),11.96376811594203,0.7553240740716586,True
