policy,dispatchable energy (kWh),unserved critical (kWh),starts,min margin (kWh),affine cost
Efficiency-greedy,0.3233999999999997,12.699399999999919,0,-8.333333333333334,0.7193999999999998
Fixed reserve 10 kWh,33.08739999999998,0.0,1,1.6206666666666871,40.72739999999992
Viable bang-bang,20.882999999999978,0.0,1,0.4800666666666955,27.730999999999927
Viable proportional,25.16335126808698,0.0,1,0.500000002761399,32.50335126808692
